"town","landUse","status","acres"
"Addison","agriculture","canopy",0.18
"Addison","cemetery","canopy",1.34
"Addison","commercial","canopy",80.49
"Addison","golf","canopy",59.02
"Addison","industrial","canopy",0
"Addison","institutional","canopy",36.93
"Addison","natural area","canopy",144.52
"Addison","other","canopy",0
"Addison","park","canopy",53.4
"Addison","residential","canopy",463.97
"Addison","transit","canopy",267.39
"Addison","utility","canopy",11.82
"Addison","vacant","canopy",31.91
"Addison","water","canopy",9.24
"Algonquin","agriculture","canopy",29.44
"Algonquin","cemetery","canopy",4.91
"Algonquin","commercial","canopy",147.68
"Algonquin","golf","canopy",16.58
"Algonquin","industrial","canopy",0
"Algonquin","institutional","canopy",31.76
"Algonquin","natural area","canopy",136.08
"Algonquin","other","canopy",0.69
"Algonquin","park","canopy",34.77
"Algonquin","residential","canopy",954.21
"Algonquin","transit","canopy",237.94
"Algonquin","utility","canopy",3.5
"Algonquin","vacant","canopy",96.68
"Algonquin","water","canopy",17.18
"Alsip","agriculture","canopy",0
"Alsip","cemetery","canopy",27.51
"Alsip","commercial","canopy",147.97
"Alsip","golf","canopy",8.69
"Alsip","industrial","canopy",0
"Alsip","institutional","canopy",9.37
"Alsip","natural area","canopy",33.65
"Alsip","other","canopy",0.86
"Alsip","park","canopy",21.01
"Alsip","residential","canopy",195.69
"Alsip","transit","canopy",133.19
"Alsip","utility","canopy",20.51
"Alsip","vacant","canopy",143.02
"Alsip","water","canopy",11.54
"Antioch","agriculture","canopy",87.81
"Antioch","cemetery","canopy",1.02
"Antioch","commercial","canopy",36.93
"Antioch","golf","canopy",0
"Antioch","industrial","canopy",0
"Antioch","institutional","canopy",28.24
"Antioch","natural area","canopy",138.56
"Antioch","other","canopy",0.03
"Antioch","park","canopy",26.09
"Antioch","residential","canopy",428.11
"Antioch","transit","canopy",63.89
"Antioch","utility","canopy",2.92
"Antioch","vacant","canopy",167.54
"Antioch","water","canopy",10.31
"ArlingtonHeights","agriculture","canopy",0.32
"ArlingtonHeights","cemetery","canopy",35.16
"ArlingtonHeights","commercial","canopy",179.86
"ArlingtonHeights","golf","canopy",59.61
"ArlingtonHeights","industrial","canopy",0
"ArlingtonHeights","institutional","canopy",80.56
"ArlingtonHeights","natural area","canopy",1.68
"ArlingtonHeights","other","canopy",2.27
"ArlingtonHeights","park","canopy",100.08
"ArlingtonHeights","residential","canopy",2201.42
"ArlingtonHeights","transit","canopy",917.82
"ArlingtonHeights","utility","canopy",6.62
"ArlingtonHeights","vacant","canopy",27.12
"ArlingtonHeights","water","canopy",7.41
"Aurora","agriculture","canopy",93.21
"Aurora","cemetery","canopy",37.73
"Aurora","commercial","canopy",292.09
"Aurora","golf","canopy",156.44
"Aurora","industrial","canopy",0
"Aurora","institutional","canopy",187.6
"Aurora","natural area","canopy",513.28
"Aurora","other","canopy",0.98
"Aurora","park","canopy",209.89
"Aurora","residential","canopy",2452.92
"Aurora","transit","canopy",999.16
"Aurora","utility","canopy",33.17
"Aurora","vacant","canopy",204.27
"Aurora","water","canopy",46.26
"Bannockburn","agriculture","canopy",1.72
"Bannockburn","cemetery","canopy",0
"Bannockburn","commercial","canopy",49.77
"Bannockburn","golf","canopy",0
"Bannockburn","industrial","canopy",0
"Bannockburn","institutional","canopy",40.64
"Bannockburn","natural area","canopy",32.36
"Bannockburn","other","canopy",0
"Bannockburn","park","canopy",5.11
"Bannockburn","residential","canopy",405.4
"Bannockburn","transit","canopy",32.14
"Bannockburn","utility","canopy",0.06
"Bannockburn","vacant","canopy",22.89
